rotation x;rotation z;real x;real z
9.826686;8.921483;2.751472;2.548995
9.773363;8.757967;2.736542;2.502276
9.712513;8.478696;2.719504;2.422485
9.655174;8.306796;2.703449;2.37337
9.600142;8.072726;2.68804;2.306493
9.540771;7.833187;2.671416;2.238054
9.486911;7.593758;2.656335;2.169645
9.436081;7.349664;2.642103;2.099904
9.357774;7.041192;2.620177;2.011769
9.296028;6.796209;2.602888;1.941774
9.202829;6.365948;2.576792;1.818842
9.129593;6.060548;2.556286;1.731585
9.039047;5.700511;2.530933;1.628717
8.938275;5.286256;2.502717;1.510359
8.838591;4.94228;2.474805;1.41208
8.743126;4.553519;2.448075;1.301005
8.671541;4.283609;2.428031;1.223888
8.605704;4.073754;2.409597;1.16393
8.532731;3.821242;2.389165;1.091783
8.448782;3.574264;2.365659;1.021218
8.369768;3.339144;2.343535;0.9540412
8.318314;3.156538;2.329128;0.9018682
8.216711;2.891369;2.300679;0.8261054
8.124748;2.645667;2.27493;0.755905
8.021926;2.368722;2.246139;0.6767779
7.915835;2.147174;2.216434;0.6134782
7.820684;1.938053;2.189792;0.5537295
7.707177;1.709416;2.15801;0.4884046
7.636437;1.555571;2.138202;0.4444489
7.524166;1.35501;2.106766;0.3871457
7.402264;1.169407;2.072634;0.3341163
7.297431;0.9984616;2.043281;0.2852747
7.22192;0.8872412;2.022137;0.2534975
7.121144;0.7646781;1.99392;0.2184795
7.000611;0.6155277;1.960171;0.1758651
6.913446;0.531867;1.935765;0.151962
6.801684;0.423596;1.904472;0.1210274
6.664858;0.3109442;1.86616;0.08884119
6.535833;0.2204308;1.830033;0.06298023
6.433721;0.1721044;1.801442;0.04917269
6.345452;0.1367113;1.776727;0.03906037
6.260973;0.111788;1.753073;0.03193944
6.164717;0.09645024;1.726121;0.02755721
6.069515;0.09779006;1.699464;0.02794002
5.963673;0.1158809;1.669829;0.03310883
5.882464;0.1490147;1.64709;0.04257562
5.77418;0.1990401;1.616771;0.0568686
5.679765;0.2861641;1.590334;0.08176118
5.605111;0.3521313;1.569431;0.100609
5.518342;0.4695514;1.545136;0.1341575
5.447779;0.5837097;1.525378;0.1667742
5.362658;0.7222522;1.501544;0.2063578
5.295854;0.8775824;1.482839;0.2507378
5.228194;1.051982;1.463894;0.3005662
5.166274;1.213767;1.446557;0.3467907
5.098457;1.429197;1.427568;0.408342
5.036309;1.617498;1.410167;0.4621423
4.9977;1.742807;1.399356;0.4979449
5.088346;1.591114;1.424737;0.4546041
5.163815;1.451758;1.445868;0.4147879
5.263632;1.311698;1.473817;0.3747708
5.345305;1.175875;1.496686;0.3359642
5.449161;1.000393;1.525765;0.2858267
5.541903;0.8306052;1.551733;0.2373158
5.609764;0.7447297;1.570734;0.2127799
5.708997;0.5844076;1.598519;0.1669736
5.795683;0.4702666;1.622791;0.1343619
5.87374;0.354863;1.644647;0.1013894
5.936809;0.2432018;1.662307;0.06948624
6.004594;0.1726881;1.681286;0.04933947
6.068719;0.06791668;1.699241;0.01940477
6.156035;359.9671;1.72369;-0.009390695
6.242865;359.8384;1.748002;-0.04616002
6.328643;359.7482;1.77202;-0.07194301
6.433041;359.6334;1.801252;-0.1047451
6.532285;359.5249;1.82904;-0.1357335
6.626999;359.4257;1.85556;-0.1640887
6.720566;359.3345;1.881758;-0.190142
6.791137;359.2671;1.901518;-0.2094029
